mm/dd/yyyy hh:mm, year, month, day, hour, min, HFC-134a, flag, HCFC-22, flag, HCFC-141b, flag, HCFC-142b, flag, CH3Cl, flag, CH3Br, flag, H-1211, flag, H-1301, flag, HFC-152a, flag, CH2Cl2, flag, TCE, flag, PCE, flag, CFC-113, flag, CH3CCl3, flag, CHCl3, flag, SF6, flag, HFC-365mfc, flag, SO2F2, flag, HFC-125, flag, HFC-23, flag, PFC-116, flag, PFC-218, flag, PFC-14, flag, HFC-227ea, flag, HFC-245fa, flag, HFC-236fa, flag, CFC-115, flag, CFC-114, flag, HFC4310mee, flag, NF3, flag, CFC-11, flag, CFC-12, flag, CCl4, flag, HFC-32, flag, HFC-143a, flag, H-2402, flag, CFC-13, flag
10/17/1994 22:55,1994,10,17,22,55,3.711, P, , , , ,9.27, P, , , , ,3.33, , , ,4.046, P, , , , , , ,-99.99, ,-99.99, , , ,-99.99, , , ,-99.99, , , ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, 
10/18/1994 04:59,1994,10,18,4,59,3.055, P, , , , ,8.025, P, , , , ,3.06, , , ,3.286, P, , , , , , ,-99.99, ,-99.99, , , ,-99.99, , , ,-99.99, , , ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, 
10/18/1994 15:58,1994,10,18,15,58,4.119, P, , , , ,16.353, P, , , , ,3.66, P, , ,1.828, P, , , , , , ,-99.99, ,-99.99, , , ,-99.99, , , ,-99.99, , , ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, 
10/18/1994 22:02,1994,10,18,22,2,1.871, P, , , , ,8.329, P, , , , ,3.18, , , ,1.212, , , , , , , ,-99.99, ,-99.99, , , ,-99.99, , , ,-99.99, , , ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, 
10/19/1994 04:06,1994,10,19,4,6,1.493, , , , , ,7.171, , , , , ,3.23, , , ,1.078, , , , , , , ,-99.99, ,-99.99, , , ,-99.99, , , ,-99.99, , , ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, 
10/19/1994 10:10,1994,10,19,10,10,1.433, , , , , ,7.142, , , , , ,3.19, , , ,1.048, , , , , , , ,-99.99, ,-99.99, , , ,-99.99, , , ,-99.99, , , ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, 
10/19/1994 16:14,1994,10,19,16,14,1.502, , , , , ,7.151, , , , , ,3.16, , , ,1.078, , , , , , , ,-99.99, ,-99.99, , , ,-99.99, , , ,-99.99, , , ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, 
10/19/1994 22:18,1994,10,19,22,18,1.443, , , , , ,7.25, , , , , ,3.09, , , ,1.078, , , , , , , ,-99.99, ,-99.99, , , ,-99.99, , , ,-99.99, , , ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, 
10/20/1994 04:20,1994,10,20,4,20,1.642, , , , , ,7.691, , , , , ,3.39, , , ,1.099, , , , , , , ,-99.99, ,-99.99, , , ,-99.99, , , ,-99.99, , , ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, 
10/20/1994 10:22,1994,10,20,10,22,1.602, , , , , ,8.103, P, , , , ,3.24, , , ,1.078, , , , , , , ,-99.99, ,-99.99, , , ,-99.99, , , ,-99.99, , , ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, 
