A8MUM7	Q9NY25	Q9UPC5	Q9H3S1	Q9NRD8	O60613	P15151	P02746	Q16363	Q9HBB8	A0A0G2JS06	Q99944	P17936	P08174	Q96A25	P34741	P05156	P04216	P21741	P08195	O43493	P08637	P02655	A4QPB2	A0A0C4DH55	P02652	P22079	P10619	Q5VY80	O75015	Q9Y5Q5	P16112	Q8NHL6	Q15165	P07478	Q13361	Q15195	O60462	Q6Q8B3	Q6H3X3	Q14031	Q02325	A6NKQ9	Q9NWF4	Q8IYS5	Q99102	Q2VPA4	P30511	Q07001	P15692	P40198	P48664	P28067	label
25.00712	22.11743	25.47784	24.66884	24.61888	29.6713	29.23558	28.08881	34.85158	22.43368	22.57713	22.77018	27.34468	29.00863	25.35547	28.2724	32.58969	32.72817	22.29199	31.48018	29.46882	28.65824	22.45044	22.2595	27.43535	26.16061	31.2906	30.21812	22.75911	25.19869	22.79192	27.80604	26.97092	30.0747	35.79607	31.18321	33.75397	27.05085	25.27065	22.96472	25.23944	33.75397	22.47966	23.23243	24.43466	23.15601	25.54193	26.92519	28.97868	26.23188	22.93631	24.15778	27.29815	Normal
26.85497	22.69125	23.34481	24.0045	24.57793	25.98024	26.65606	28.10066	31.69876	25.71522	23.23814	23.04285	22.76643	31.27637	24.2407	23.07892	30.58906	32.17813	24.26914	29.68068	24.10078	27.7915	22.85422	24.30542	27.4118	24.51016	31.77956	28.18998	24.96626	23.32311	23.0105	27.28572	24.75546	27.07243	36.97236	33.8513	32.54766	24.46854	23.20528	24.76808	23.44438	32.54766	22.52201	23.33888	24.39896	23.56099	24.05495	24.69262	28.38591	26.5244	25.76355	24.75666	23.53391	Normal
28.41894	27.65578	27.03465	22.79389	25.66307	28.43466	28.62474	28.60103	33.31072	25.85434	24.48707	24.04549	23.93459	31.65983	20.69457	24.6373	32.40968	33.82576	23.55746	31.64377	26.73103	30.31252	22.75921	24.24193	29.18537	26.66657	34.19963	29.63904	23.04227	26.35207	24.59243	29.75571	26.01069	29.11626	33.787	34.58583	34.61959	25.45426	26.21169	23.22189	31.34874	34.61959	23.26883	26.66403	23.8811	27.3301	27.64062	28.54476	24.85473	27.23853	27.00941	23.46089	28.62316	Normal
25.39681	25.82757	24.58068	22.69202	24.44033	28.93071	28.15206	29.32347	34.00267	22.71137	24.0247	22.4903	24.63709	30.4133	24.33354	27.32752	33.3442	33.17128	22.45555	31.13745	28.48747	30.05132	26.46343	23.9987	29.55501	28.15085	32.83261	30.37072	24.40939	27.46496	23.92984	26.1375	25.78567	29.9858	35.76252	34.16486	34.27228	23.92486	25.5966	22.19334	30.40916	34.27228	23.20599	25.02652	22.74002	24.59505	26.25493	27.29056	26.66293	26.98431	27.26751	22.58861	25.81266	Normal
22.23896	24.6858	25.2238	21.84201	22.33319	29.14204	29.52723	28.89809	33.58824	24.19151	22.61018	23.40922	23.18262	30.64975	24.33343	26.36844	31.92966	33.6525	23.1031	30.91715	30.27322	27.57268	24.6827	23.9392	28.25255	26.52731	32.38076	29.95959	22.74301	24.56493	23.17342	27.85041	25.66195	29.19001	35.92529	32.94913	32.85719	24.01246	23.78691	24.12683	22.81487	32.85719	24.96457	25.28995	23.58508	24.15705	24.84584	27.02122	25.13023	26.52596	24.47173	23.99605	24.08205	Normal
25.20947	28.0365	25.42136	24.22726	31.33677	29.07092	29.58165	31.97335	35.30549	25.94314	22.30793	24.91196	31.69855	32.86382	22.88221	29.39993	32.53477	34.19885	26.84151	32.5228	27.25111	31.21674	24.54747	26.23444	27.27036	25.49857	36.20858	31.57987	23.48427	29.44146	25.47334	28.61657	28.28526	31.12538	33.7318	33.53502	34.18778	30.31164	26.81734	23.21152	29.21846	34.18778	24.38854	25.68686	27.90903	27.52192	28.6511	28.78171	28.90194	28.34204	33.24021	26.5946	30.62981	PDAC
25.3896	28.02812	24.93378	25.46047	29.17164	28.33475	29.7116	32.49751	34.78439	27.57053	22.93797	24.39542	31.57413	33.78434	23.42476	28.23156	32.95404	33.8979	27.64547	32.29423	25.58743	31.5858	26.27386	23.0388	29.01452	27.94612	36.41724	30.49292	24.3232	29.54544	26.75598	28.52265	26.91878	31.22319	29.3146	33.11629	35.20321	31.16035	26.00084	24.3232	29.22765	35.20321	23.89896	23.20615	28.94726	33.68779	27.8909	28.81612	28.84534	28.45236	34.73265	25.59623	29.0331	PDAC
26.61892	27.2094	27.0713	25.80413	23.61654	28.96016	28.74236	31.13426	34.97981	21.70967	23.47563	25.12842	30.28724	32.24538	24.96795	29.17173	33.29659	33.72466	26.17058	32.43522	24.83338	31.00946	27.20756	26.06799	29.69584	29.32908	32.72195	31.11377	23.56797	25.88768	26.32869	28.83722	28.78484	30.7847	33.25232	32.53367	34.76159	29.29181	25.86082	24.9344	27.34025	34.76159	23.09968	26.08714	27.02226	26.47686	25.51868	28.12689	29.51896	27.38361	30.03299	23.71788	30.3053	PDAC
28.17368	23.98892	25.11635	25.68139	22.08752	28.07241	29.36951	31.32109	34.51368	23.15335	23.29291	24.36185	29.40287	30.66413	25.42275	24.13455	32.58917	34.97229	26.46268	31.34829	25.97276	31.17464	26.65491	24.28582	29.42382	29.04214	32.18955	30.58036	24.3474	25.86246	22.71604	26.59229	28.30012	29.8139	32.80812	33.03405	35.33468	28.28523	26.18838	23.76498	29.2096	35.33468	22.88465	26.96481	23.75307	26.25835	25.85021	27.83378	29.27207	26.55322	31.52934	24.08711	28.07919	PDAC
27.87624	28.00363	27.86465	25.80293	29.33809	27.82755	28.46733	32.34085	35.26193	23.74435	24.28982	22.48972	31.68933	31.59015	25.71735	26.3122	32.42309	34.76777	28.2528	32.23615	25.64225	31.74705	25.35081	27.99001	29.10957	29.16672	34.62838	30.53744	22.89477	27.76149	25.272	27.63954	28.03942	31.20341	29.01192	32.81072	34.72656	29.49524	25.40968	25.0993	22.88415	34.72656	22.97692	27.69638	22.18949	29.0276	26.0609	28.91551	29.50433	27.02129	29.24036	25.97957	29.07508	PDAC
